value_salary,year,region
36005.0,2020,Южный федеральный округ
28784.0,2020,Республика Адыгея
19096.0,2020,Республика Калмыкия
31247.0,2020,Республика Крым
32297.0,2020,Краснодарский край
49571.0,2020,Астраханская область
39075.0,2020,Волгоградская область
37534.0,2020,Ростовская область
32426.0,2020,Севастополь
27299.0,2020,Северо-Кавказский федеральный округ
24448.0,2020,Республика Дагестан
13114.0,2020,Республика Ингушетия
17766.0,2020,Кабардино-Балкарская Республика
23357.0,2020,Карачаево-Черкесская Республика
18986.0,2020,Республика Северная Осетия — Алания
21418.0,2020,Чеченская Республика
32061.0,2020,Ставропольский край
37647.0,2020,Приволжский федеральный округ
39173.0,2020,Республика Башкортостан
31552.0,2020,Республика Марий Эл
29834.0,2020,Республика Мордовия
42391.0,2020,Республика Татарстан
38428.0,2020,Удмуртская Республика
29418.0,2020,Чувашская Республика
42951.0,2020,Пермский край
31033.0,2020,Кировская область
36091.0,2020,Нижегородская область
40163.0,2020,Оренбургская область
31894.0,2020,Пензенская область
42012.0,2020,Самарская область
30783.0,2020,Саратовская область
33556.0,2020,Ульяновская область
45167.0,2020,Уральский федеральный округ
33629.0,2020,Курганская область
45581.0,2020,Свердловская область
66626.0,2020,Ханты-Мансийский автономный округ - Югра
87386.0,2020,Ямало-Ненецкий автономный округ
47975.0,2020,Тюменская область
41468.0,2020,Челябинская область
42935.0,2020,Сибирский федеральный округ
23501.0,2020,Республика Алтай
16844.0,2020,Республика Тыва
49243.0,2020,Республика Хакасия
27128.0,2020,Алтайский край
58321.0,2020,Красноярский край
48271.0,2020,Иркутская область
45308.0,2020,Кемеровская область - Кузбасс
35875.0,2020,Новосибирская область
41017.0,2020,Омская область
42446.0,2020,Томская область
49996.0,2020,Дальневосточный федеральный округ
42171.0,2020,Республика Бурятия
45561.0,2020,Республика Саха (Якутия)
53327.0,2020,Забайкальский край
117291.0,2020,Камчатский край
46041.0,2020,Приморский край
46933.0,2020,Хабаровский край
38712.0,2020,Амурская область
77173.0,2020,Магаданская область
62511.0,2020,Сахалинская область
30465.0,2020,Еврейская автономная область
72559.0,2020,Чукотский автономный округ
50896.0,2020,Российская Федерация
58812.0,2020,Центральный федеральный округ
39753.0,2020,Белгородская область
31102.0,2020,Брянская область
37032.0,2020,Владимирская область
49415.0,2020,Воронежская область
35173.0,2020,Ивановская область
41028.0,2020,Калужская область
37202.0,2020,Костромская область
55504.0,2020,Курская область
35700.0,2020,Липецкая область
59411.0,2020,Московская область
31058.0,2020,Орловская область
38910.0,2020,Рязанская область
56625.0,2020,Смоленская область
35403.0,2020,Тамбовская область
53050.0,2020,Тверская область
54335.0,2020,Тульская область
44277.0,2020,Ярославская область
106863.0,2020,Город Москва
58300.0,2020,Северо-Западный федеральный округ
48278.0,2020,Республика Карелия
58321.0,2020,Республика Коми
70736.0,2020,Ненецкий автономный округ
51017.0,2020,Архангельская область
39026.0,2020,Вологодская область
39625.0,2020,Калининградская область
71310.0,2020,Ленинградская область
87434.0,2020,Мурманская область
34787.0,2020,Новгородская область
31997.0,2020,Псковская область
65656.0,2020,Санкт-Петербург
40333.0,2020,Южный федеральный округ
29453.0,2020,Республика Адыгея
33706.0,2020,Республика Калмыкия
42780.0,2020,Республика Крым
38898.0,2020,Краснодарский край
38685.0,2020,Астраханская область
37146.0,2020,Волгоградская область
42885.0,2020,Ростовская область
52755.0,2020,Севастополь
36575.0,2020,Северо-Кавказский федеральный округ
31246.0,2020,Республика Дагестан
37295.0,2020,Республика Ингушетия
34674.0,2020,Кабардино-Балкарская Республика
42345.0,2020,Карачаево-Черкесская Республика
42864.0,2020,Республика Северная Осетия — Алания
30418.0,2020,Чеченская Республика
38726.0,2020,Ставропольский край
40041.0,2020,Приволжский федеральный округ
40905.0,2020,Республика Башкортостан
36256.0,2020,Республика Марий Эл
35825.0,2020,Республика Мордовия
