value_population,year,territory
-9.8,2019,Псковская
-8.5,2019,Псковская
-8.3,2019,Псковская
-9.4,2019,Псковская
-9.3,2019,Псковская
-9.1,2019,Псковская
-8.8,2019,Псковская
-8.4,2019,Псковская
-8.5,2019,Псковская
-8.4,2019,Псковская
-8.4,2019,Псковская
-8.4,2019,Псковская
-1.8,2019,Санкт-Петербург
-1.5,2019,Санкт-Петербург
-1.4,2019,Санкт-Петербург
-1.3,2019,Санкт-Петербург
-1.0,2019,Санкт-Петербург
-0.6,2019,Санкт-Петербург
-0.3,2019,Санкт-Петербург
-0.1,2019,Санкт-Петербург
-0.2,2019,Санкт-Петербург
-0.1,2019,Санкт-Петербург
0.0,2019,Санкт-Петербург
0.0,2019,Санкт-Петербург
-4.6,2019,
-4.3,2019,
-4.3,2019,
-4.4,2019,
-4.3,2019,
-4.1,2019,
-3.6,2019,
-3.3,2019,
-3.1,2019,
-3.0,2019,
-3.0,2019,
-3.0,2019,
-4.7,2019,Адыгея
-5.4,2019,Адыгея
-5.2,2019,Адыгея
-4.9,2019,Адыгея
-4.9,2019,Адыгея
-4.5,2019,Адыгея
-4.2,2019,Адыгея
-3.8,2019,Адыгея
-3.6,2019,Адыгея
-3.4,2019,Адыгея
-3.3,2019,Адыгея
-3.1,2019,Адыгея
0.4,2019,Калмыкия
-0.1,2019,Калмыкия
-0.1,2019,Калмыкия
-0.6,2019,Калмыкия
-0.5,2019,Калмыкия
-0.1,2019,Калмыкия
0.3,2019,Калмыкия
0.6,2019,Калмыкия
0.6,2019,Калмыкия
0.7,2019,Калмыкия
0.8,2019,Калмыкия
0.9,2019,Калмыкия
-6.0,2019,Крым
-5.5,2019,Крым
-5.8,2019,Крым
-5.7,2019,Крым
-5.6,2019,Крым
-5.3,2019,Крым
-4.8,2019,Крым
-4.4,2019,Крым
-4.1,2019,Крым
-4.1,2019,Крым
-4.0,2019,Крым
-4.0,2019,Крым
-3.2,2019,Краснодарский
-2.6,2019,Краснодарский
-2.5,2019,Краснодарский
-2.8,2019,Краснодарский
-2.8,2019,Краснодарский
-2.6,2019,Краснодарский
-2.2,2019,Краснодарский
-1.8,2019,Краснодарский
-1.6,2019,Краснодарский
-1.5,2019,Краснодарский
-1.5,2019,Краснодарский
-1.6,2019,Краснодарский
-1.6,2019,Астраханская
-1.2,2019,Астраханская
-1.7,2019,Астраханская
-2.2,2019,Астраханская
-1.9,2019,Астраханская
-1.6,2019,Астраханская
-1.3,2019,Астраханская
-1.0,2019,Астраханская
-0.8,2019,Астраханская
-0.5,2019,Астраханская
-0.4,2019,Астраханская
-0.4,2019,Астраханская
-5.5,2019,Волгоградская
-5.3,2019,Волгоградская
-5.6,2019,Волгоградская
-5.6,2019,Волгоградская
-5.6,2019,Волгоградская
-5.5,2019,Волгоградская
-5.2,2019,Волгоградская
-4.9,2019,Волгоградская
-4.7,2019,Волгоградская
-4.6,2019,Волгоградская
-4.7,2019,Волгоградская
-4.7,2019,Волгоградская
-6.3,2019,Ростовская
-6.0,2019,Ростовская
-5.9,2019,Ростовская
-5.7,2019,Ростовская
-5.6,2019,Ростовская
-5.3,2019,Ростовская
-4.9,2019,Ростовская
-4.6,2019,Ростовская
-4.4,2019,Ростовская
-4.3,2019,Ростовская
-4.3,2019,Ростовская
-4.3,2019,Ростовская
-6.1,2019,Севастополь
-5.0,2019,Севастополь
-4.8,2019,Севастополь
-4.9,2019,Севастополь
-4.9,2019,Севастополь
-4.6,2019,Севастополь
-4.1,2019,Севастополь
-3.9,2019,Севастополь
-3.8,2019,Севастополь
-3.6,2019,Севастополь
-3.5,2019,Севастополь
-3.5,2019,Севастополь
6.5,2019,
5.9,2019,
5.2,2019,
5.1,2019,
5.0,2019,
5.2,2019,
5.4,2019,
5.8,2019,
6.1,2019,
6.2,2019,
6.2,2019,
6.2,2019,
11.4,2019,Дагестан
11.0,2019,Дагестан
10.1,2019,Дагестан
9.8,2019,Дагестан
9.6,2019,Дагестан
9.5,2019,Дагестан
9.6,2019,Дагестан
9.8,2019,Дагестан
9.9,2019,Дагестан
10.1,2019,Дагестан
10.1,2019,Дагестан
10.0,2019,Дагестан
14.6,2019,Ингушетия
13.5,2019,Ингушетия
12.9,2019,Ингушетия
12.9,2019,Ингушетия
12.2,2019,Ингушетия
12.0,2019,Ингушетия
12.6,2019,Ингушетия
12.8,2019,Ингушетия
13.0,2019,Ингушетия
13.2,2019,Ингушетия
13.1,2019,Ингушетия
13.0,2019,Ингушетия
3.1,2019,Кабардино-Балкарская
2.0,2019,Кабардино-Балкарская
1.4,2019,Кабардино-Балкарская
1.7,2019,Кабардино-Балкарская
1.6,2019,Кабардино-Балкарская
